SA2_code,SA2_name,income_earners,median_income,mean_income,gini_coefficient
123011699,Elderslie - Narellan,8785,60820,73793,0.457
123011700,Harrington Park,7540,63013,78291,0.462
123011701,Mount Annan,12450,61246,69067,0.416
123011702,Spring Farm,6137,67206,71121,0.37
123021436,Bradbury - Wedderburn,11247,52345,57143,0.419
123021437,Campbelltown - Woodbine,13087,53252,60171,0.439
123021438,Claymore - Eagle Vale - Raby,12088,54237,58866,0.414
123021439,Holsworthy Military Area,,,,
123021441,Leumeah - Minto Heights,9818,52300,57881,0.43
123021443,Minto - St Andrews,12475,52603,57398,0.419
123021444,Rosemeadow - Glen Alpine,12111,52724,60355,0.446
123021703,Denham Court - Bardia,9684,63252,72619,0.445
123021704,Glenfield,6394,58697,65300,0.424
123021705,Ingleburn,10352,53303,59895,0.439
123021706,Macquarie Fields,7642,49126,53992,0.427
123031445,Bargo,3737,54574,64354,0.449
123031446,Douglas Park - Appin,7115,63296,76323,0.46
123031447,Picton - Tahmoor - Buxton,11968,57518,67126,0.439
123031448,The Oaks - Oakdale,6467,57730,73998,0.5
124011449,Blackheath - Megalong Valley,3567,42514,58516,0.535
124011450,Blaxland - Warrimoo - Lapstone,12524,64261,79128,0.481
124011451,Blue Mountains - North,9,10617,19688,
124011452,Katoomba - Leura,8254,44058,60533,0.529
124011453,Lawson - Hazelbrook - Linden,7409,54428,64178,0.458
124011454,Springwood - Winmalee,14135,60045,71094,0.459
124011455,Wentworth Falls,3859,47169,66024,0.539
124021456,Blue Mountains - South,,,,
124031457,Cambridge Park,9697,57163,61605,0.405
124031459,Emu Plains - Leonay,8949,63357,73741,0.449
124031460,Glenmore Park - Regentville,14113,64833,73113,0.423
124031461,Jamisontown - South Penrith,10828,58418,63881,0.422
124031462,Kingswood - Werrington,14579,57804,63313,0.415
124031463,Mulgoa - Luddenham - Orchard Hills,8033,64575,84648,0.492
124031464,Penrith,10630,56717,63292,0.422
124031465,Warragamba - Silverdale,4181,63333,69687,0.408
124031707,Cranebrook - Castlereagh,10803,59355,68489,0.434
124031708,Jordan Springs - Llandilo,8251,66209,72158,0.397
124041466,Richmond - Clarendon,9487,53767,62403,0.449
124041467,Windsor - Bligh Park,9717,56910,63889,0.424
124041468,Yarramundi - Londonderry,4304,53933,65423,0.461
124051469,Erskine Park,4432,60736,67406,0.415
124051470,St Clair,12690,58404,62592,0.406
124051580,Colyton - Oxley Park,7444,54028,57435,0.401
124051581,St Marys - North St Marys,9755,52794,55870,0.41
125011475,Rookwood Cemetery,,,,
125011582,Auburn - Central,11676,35966,45037,0.467
125011583,Auburn - North,7377,36918,43059,0.436
125011584,Auburn - South,4601,37800,48709,0.474
125011585,Berala,5058,41659,51719,0.459
125011586,Lidcombe,14668,42858,55633,0.483
125011587,Regents Park,2905,42949,52095,0.48
125011709,Silverwater - Newington,5190,58864,75868,0.486
125011710,Wentworth Point - Sydney Olympic Park,14654,62833,71977,0.435
125021477,Ermington - Rydalmere,15518,56306,68025,0.468
125021478,Oatlands - Dundas Valley,11405,51123,70447,0.509
125021711,Carlingford - East,7673,50323,70781,0.523
125021712,Carlingford - West,12402,51507,68275,0.505
125031479,Chester Hill - Sefton,10256,40420,50474,0.477
125031480,Fairfield - East,7576,39770,47313,0.458
125031481,Granville - Clyde,14639,42557,51121,0.452
125031483,Guildford - South Granville,10280,36552,47290,0.481
125031484,Guildford West - Merrylands West,12024,45282,54022,0.461
125031486,Smithfield Industrial,64,52000,70181,
125031487,Yennora Industrial,26,47363,54694,
125031713,Greystanes - South,9748,53559,64204,0.468
125031714,Merrylands - Holroyd,13696,44361,54542,0.462
125031715,Pemulwuy - Greystanes (North),6603,62568,73567,0.462
125031716,South Wentworthville,4174,51004,61132,0.456
125041489,North Parramatta,15067,60817,70750,0.445
125041490,North Rocks,5615,60003,77414,0.499
125041491,Northmead,13478,63053,73896,0.444
125041493,Toongabbie - Constitution Hill,14483,57565,67938,0.456
125041494,Winston Hills,7242,63257,77240,0.476
125041588,Pendle Hill - Girraween,8327,59682,69935,0.442
125041589,Wentworthville - Westmead,13918,60308,71227,0.44
125041717,Parramatta - North,9590,62786,73567,0.434
125041718,Parramatta - South,7264,53531,63166,0.442
125041719,Rosehill - Harris Park,6461,49654,57863,0.432
126011496,Pennant Hills - Cheltenham,15060,65243,95436,0.545
126011720,Epping (East) - North Epping,10302,62054,82330,0.514
126011721,Epping (NSW) - West,12912,54716,76755,0.528
126021498,Gladesville - Huntleys Point,10794,74339,110277,0.543
126021499,Hunters Hill - Woolwich,6710,79520,180802,0.69
126021500,Macquarie Park - Marsfield,17046,57037,69983,0.488
126021501,North Ryde - East Ryde,10704,65548,87707,0.512
126021503,West Ryde - Meadowbank,14217,61110,74748,0.468
126021590,Putney,3056,68954,113286,0.58
126021722,Denistone,4825,60000,82193,0.527
126021723,Eastwood,13033,47148,76380,0.588
126021724,Ryde - North,13683,58185,75389,0.493
126021725,Ryde - South,7992,65000,79664,0.466
127011504,Ashcroft - Busby - Miller,7686,38067,44532,0.453
127011505,Austral - Greendale,8075,53058,68623,0.494
127011592,Badgerys Creek,17,56847,49680,
127011593,Cecil Hills,4365,55337,66924,0.472
127011594,Green Valley,7098,47975,54463,0.438
127011595,Hinchinbrook,7410,51501,58973,0.44
127011596,Hoxton Park - Carnes Hill - Horningsea Park,7696,54869,62045,0.427
127011597,West Hoxton - Middleton Grange,10100,55369,65932,0.448
127011726,Cobbitty - Bringelly,3092,60334,75248,0.483
127011727,Gledswood Hills - Gregory Hills,9171,68928,74658,0.387
127011728,Leppington - Catherine Field,8427,60915,70064,0.429
127011729,Oran Park,10675,64574,71123,0.406
127021509,Bonnyrigg Heights - Bonnyrigg,9084,46841,54245,0.452
127021510,Bossley Park - Abbotsbury,10463,49123,60740,0.482
127021511,Cabramatta - Lansvale,12817,37785,45769,0.465
127021512,Cabramatta West - Mount Pritchard,9343,44055,50867,0.446
127021513,Canley Vale - Canley Heights,11657,42334,49486,0.461
127021514,Edensor Park,5610,47105,56283,0.462
127021515,Fairfield,7725,39467,48088,0.472
127021516,Fairfield - West,9477,40685,49051,0.47
127021517,Greenfield Park - Prairiewood,4287,44642,53837,0.471
127021518,Horsley Park - Kemps Creek,2827,54384,87343,0.561
127021519,Smithfield - Wetherill Park,9422,44953,54243,0.47
127021520,St Johns Park - Wakeley,5803,45300,54726,0.474
127021521,Wetherill Park Industrial,139,64676,75077,0.425
127031522,Casula,9333,50805,59364,0.447
127031523,Chipping Norton - Moorebank,12475,56909,67591,0.454
127031524,Holsworthy - Wattle Grove,13224,67515,75296,0.418
127031599,Lurnea - Cartwright,5432,39989,46834,0.458
127031601,Warwick Farm,3090,48916,53626,0.422
127031730,Edmondson Park,7578,65499,73008,0.407
127031731,Liverpool - East,9478,50451,56210,0.429
127031732,Liverpool - West,6424,42642,50137,0.454
127031733,Prestons,9396,55520,62444,0.432
128011529,Gymea - Grays Point,12453,66152,85861,0.489
128011530,Miranda - Yowie Bay,13654,62566,79445,0.486
128011531,Sylvania - Taren Point,10753,54791,83696,0.564
128011602,Caringbah,8398,65161,77037,0.447
128011603,Caringbah South,9073,67194,97856,0.539
128011604,Cronulla - Kurnell - Bundeena,17522,66114,92233,0.526
128011605,Lilli Pilli - Port Hacking - Dolans Bay,2455,66247,114583,0.593
128011606,Woolooware - Burraneer,6436,70042,108564,0.56
128021533,Heathcote - Waterfall,4318,61476,72930,0.448
128021534,Illawong - Alfords Point,7370,62495,84099,0.512
128021535,Menai - Lucas Heights - Woronora,14673,64878,79715,0.467
128021536,Oyster Bay - Como - Jannali,14751,68159,90232,0.507
128021537,Royal National Park,17,28058,48640,
128021538,Sutherland - Kirrawee,15296,66561,76813,0.437
128021607,Engadine,11226,62955,73255,0.448
128021608,Loftus - Yarrawarrah,4940,62792,76866,0.471
128021609,Woronora Heights,2664,65827,85412,0.486
